land,rb,kreis,vb,gemeindename,_ars_gemeinde,kennzeichen,flaeche_km2,bev_geseamt,bev_maennl,bev_weibl,bev_pro_km2,plz,longitude,latitude,reisegebiet_name,urbanisierung_cat
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Neufeld,010515166076,Kreisangehörige Gemeinde,10.4,594,301,293,57,25724,"9,019046","53,907224",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Neufelderkoog,010515166077,Kreisangehörige Gemeinde,9.77,119,64,55,12,25724,"8,968827","53,906958",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Ramhusen,010515166090,Kreisangehörige Gemeinde,4.8,148,75,73,31,25715,"9,090658","53,941207",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Schmedeswurth,010515166103,Kreisangehörige Gemeinde,5.91,178,97,81,30,25724,"9,040335","53,926172",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Trennewurth,010515166118,Kreisangehörige Gemeinde,7.79,253,136,117,32,25693,"9,025792","54,000236",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Volsemenhusen,010515166119,Kreisangehörige Gemeinde,16.78,330,182,148,20,25693,"9,065625","53,967901",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Barkenholm,010515169005,Kreisangehörige Gemeinde,5.11,163,90,73,32,25791,"9,174339","54,237387",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Bergewöhrden,010515169008,Kreisangehörige Gemeinde,2.64,36,16,20,14,25779,"9,209426","54,318469",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Dellstedt,010515169019,Kreisangehörige Gemeinde,21.77,736,378,358,34,25786,"9,369143","54,237892",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Delve,010515169020,Kreisangehörige Gemeinde,15.84,735,372,363,46,25788,"9,252365","54,303978",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Dörpling,010515169023,Kreisangehörige Gemeinde,7.82,618,312,306,79,25794,"9,301925","54,260654",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Eider,Fedderingen,010515169030,Kreisangehörige Gemeinde,9.69,280,144,136,29,25779,"9,132642","54,281144",übrig. Schleswig-Holstein,gering besiedelt
